"species","kingdom","phylum","class","order"
"Campanula persicifolia","Plantae",NA,"Magnoliopsida","Asterales"
"Calamagrostis epigeios","Plantae",NA,"Magnoliopsida","Poales"
"Trifolium alpestre","Plantae",NA,"Magnoliopsida","Fabales"
"Bunias orientalis","Plantae",NA,"Magnoliopsida","Brassicales"
"Anthericum ramosum","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Potentilla alba","Plantae",NA,"Magnoliopsida","Rosales"
"Centaurea scabiosa","Plantae",NA,"Magnoliopsida","Asterales"
"Euphorbia semivillosa","Plantae",NA,"Magnoliopsida","Malpighiales"
"Falcaria vulgaris","Plantae",NA,"Magnoliopsida","Apiales"
"Pedicularis kaufmannii",NA,NA,NA,NA
"Eremogone micradenia",NA,NA,NA,NA
"Avenula pubescens","Plantae",NA,"Magnoliopsida","Poales"
"Achillea millefolium","Plantae",NA,"Magnoliopsida","Asterales"
"Jurinea arachnoidea","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Alnus incana","Plantae",NA,"Magnoliopsida","Fagales"
"Gymnospermium albertii","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Rosa webbiana","Plantae",NA,"Magnoliopsida","Rosales"
"Poa bulbosa","Plantae",NA,"Magnoliopsida","Poales"
"Sorbus turkestanica",NA,NA,NA,NA
"Hypericum scabrum","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Malus sieversii","Plantae",NA,"Magnoliopsida","Rosales"
"Larus canus","Animalia","Chordata","Aves","Charadriiformes"
"Nymphalis antiopa","Animalia","Arthropoda","Insecta","Lepidoptera"
"Aporia crataegi","Animalia","Arthropoda","Insecta","Lepidoptera"
"Lipoptena cervi","Animalia","Arthropoda","Insecta","Diptera"
"Linnaea borealis","Plantae",NA,"Magnoliopsida","Dipsacales"
"Oxalis acetosella","Plantae","Streptophyta","Magnoliopsida","Oxalidales"
"Salix acutifolia","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Platanthera bifolia","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Andromeda polifolia","Plantae",NA,"Magnoliopsida","Ericales"
"Malus baccata","Plantae",NA,"Magnoliopsida","Rosales"
"Chamaedaphne calyculata","Plantae",NA,"Magnoliopsida","Ericales"
"Cygnus olor","Animalia","Chordata","Aves","Anseriformes"
"Sterna hirundo","Animalia","Chordata","Aves","Charadriiformes"
"Streptopelia decaocto","Animalia","Chordata","Aves","Columbiformes"
"Trypocopris vernalis","Animalia","Arthropoda","Insecta","Coleoptera"
"Pieris brassicae","Animalia","Arthropoda","Insecta","Lepidoptera"
"Melolontha melolontha","Animalia","Arthropoda","Insecta","Coleoptera"
"Pyrrhocoris apterus","Animalia","Arthropoda","Insecta","Hemiptera"
"Cetonia aurata","Animalia","Arthropoda","Insecta","Coleoptera"
"Carpinus betulus","Plantae",NA,"Magnoliopsida","Fagales"
"Symphytum officinale","Plantae",NA,"Magnoliopsida","Boraginales"
"Lamium galeobdolon","Plantae",NA,"Magnoliopsida","Lamiales"
"Populus nigra","Plantae",NA,"Magnoliopsida","Malpighiales"
"Corydalis cava","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Salix alba","Plantae",NA,"Magnoliopsida","Malpighiales"
"Gagea minima","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Acer negundo","Plantae",NA,"Magnoliopsida","Sapindales"
"Galium verum","Plantae",NA,"Magnoliopsida","Gentianales"
"Fraxinus excelsior","Plantae",NA,"Magnoliopsida","Lamiales"
"Impatiens noli-tangere","Plantae",NA,"Magnoliopsida","Ericales"
"Iris pseudacorus","Plantae",NA,"Magnoliopsida","Asparagales"
"Populus alba","Plantae",NA,"Magnoliopsida","Malpighiales"
"Barbarea vulgaris","Plantae",NA,"Magnoliopsida","Brassicales"
"Cardamine quinquefolia","Plantae","Streptophyta","Magnoliopsida","Brassicales"
"Cirsium arvense","Plantae",NA,"Magnoliopsida","Asterales"
"Argentina anserina","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Capsella bursa-pastoris","Plantae",NA,"Magnoliopsida","Brassicales"
"Plantae; majority of trees and shrubs",NA,NA,NA,NA
"Robinia pseudoacacia","Plantae",NA,"Magnoliopsida","Fabales"
"Stellaria media","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Vinca minor","Plantae",NA,"Magnoliopsida","Gentianales"
"Forsythia suspensa","Plantae",NA,"Magnoliopsida","Lamiales"
"Plantae; 1st trees and shrubs",NA,NA,NA,NA
"Viola arvensis","Plantae",NA,"Magnoliopsida","Malpighiales"
"Ajuga genevensis","Plantae",NA,"Magnoliopsida","Lamiales"
"Spiraea vanhouttei","Plantae",NA,"Magnoliopsida","Rosales"
"Viola odorata","Plantae",NA,"Magnoliopsida","Malpighiales"
"Eryngium planum","Plantae",NA,"Magnoliopsida","Apiales"
"Crataegus monogyna","Plantae",NA,"Magnoliopsida","Rosales"
"Alliaria petiolata","Plantae",NA,"Magnoliopsida","Brassicales"
"Castanea sativa","Plantae",NA,"Magnoliopsida","Fagales"
"Geranium robertianum","Plantae",NA,"Magnoliopsida","Geraniales"
"Ulmus glabra","Plantae",NA,"Magnoliopsida","Rosales"
"Lysimachia nummularia","Plantae",NA,"Magnoliopsida","Ericales"
"Galium odoratum","Plantae",NA,"Magnoliopsida","Gentianales"
"Convolvulus arvensis","Plantae",NA,"Magnoliopsida","Solanales"
"Ribes uva-crispa","Plantae",NA,"Magnoliopsida","Saxifragales"
"Solanum tuberosum","Plantae",NA,"Magnoliopsida","Solanales"
"Oriolus oriolus","Animalia","Chordata","Aves","Passeriformes"
"Larus argentatus","Animalia","Chordata","Aves","Charadriiformes"
"Gavia arctica","Animalia","Chordata","Aves","Gaviiformes"
"Cerasus fruticosa","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Cypripedium calceolus","Plantae",NA,"Magnoliopsida","Asparagales"
"Alopecurus pratensis","Plantae",NA,"Magnoliopsida","Poales"
"Crataegus sanguinea","Plantae",NA,"Magnoliopsida","Rosales"
"Arctium tomentosum","Plantae",NA,"Magnoliopsida","Asterales"
"Cypripedium macranthos","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Cypripedium guttatum","Plantae",NA,"Magnoliopsida","Asparagales"
"Streptopelia turtur","Animalia","Chordata","Aves","Columbiformes"
"Linaria cannabina","Animalia","Chordata","Aves","Passeriformes"
"Haematopus ostralegus","Animalia","Chordata","Aves","Charadriiformes"
"Aythya ferina","Animalia","Chordata","Aves","Anseriformes"
"Podiceps cristatus","Animalia","Chordata","Aves","Podicipediformes"
"Ardea alba","Animalia","Chordata","Aves","Pelecaniformes"
"Coccothraustes coccothraustes","Animalia","Chordata","Aves","Passeriformes"
"Anas penelope","Animalia","Chordata","Aves","Anseriformes"
"Regulus regulus","Animalia","Chordata","Aves","Passeriformes"
"Larus ridibundus","Animalia","Chordata","Aves","Charadriiformes"
"Merops apiaster","Animalia","Chordata","Aves","Coraciiformes"
"Luscinia luscinia","Animalia","Chordata","Aves","Passeriformes"
"Anas querquedula","Animalia","Chordata","Aves","Anseriformes"
"Phylloscopus trochilus","Animalia","Chordata","Aves","Passeriformes"
"Amorpha fruticosa","Plantae",NA,"Magnoliopsida","Fabales"
"Ribes rubrum","Plantae",NA,"Magnoliopsida","Saxifragales"
"Viola rotundifolia","Plantae",NA,"Magnoliopsida","Malpighiales"
"Prunus avium","Plantae",NA,"Magnoliopsida","Rosales"
"Secale cereale","Plantae",NA,"Magnoliopsida","Poales"
"Polygala amara","Plantae","Streptophyta","Magnoliopsida","Fabales"
"Lonicera tatarica","Plantae",NA,"Magnoliopsida","Dipsacales"
"Juglans regia","Plantae",NA,"Magnoliopsida","Fagales"
"Prunus cerasifera","Plantae",NA,"Magnoliopsida","Rosales"
"Acer campreste",NA,NA,NA,NA
"Cornus mas","Plantae",NA,"Magnoliopsida","Cornales"
"Tilia dasystyla","Plantae","Streptophyta","Magnoliopsida","Malvales"
"Rhododendron pontica",NA,NA,NA,NA
"Philadelphus caucasicus","Plantae",NA,"Magnoliopsida","Cornales"
"Abies nordmanniana","Plantae","Streptophyta","Pinopsida",NA
"Picea orientalis","Plantae","Streptophyta","Pinopsida",NA
"Juglans mandshurica","Plantae",NA,"Magnoliopsida","Fagales"
"Salix gracilistyla","Plantae",NA,"Magnoliopsida","Malpighiales"
"Ribes mandshuricum","Plantae","Streptophyta","Magnoliopsida","Saxifragales"
"Sorbaria sorbifolia","Plantae",NA,"Magnoliopsida","Rosales"
"Ranunculus franchetii",NA,NA,NA,NA
"Viburnum sargentii","Plantae","Streptophyta","Magnoliopsida","Dipsacales"
"Pyrus ussuriensis","Plantae",NA,"Magnoliopsida","Rosales"
"Adonis amurensis","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Corydalis ambigua","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Acer pictum","Plantae","Streptophyta","Magnoliopsida","Sapindales"
"Rosa rugosa","Plantae",NA,"Magnoliopsida","Rosales"
"Rubus crataegifolius","Plantae",NA,"Magnoliopsida","Rosales"
"Anemone amurensis","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Anser fabalis","Animalia","Chordata","Aves","Anseriformes"
"Riparia riparia","Animalia","Chordata","Aves","Passeriformes"
"Betula pubescens","Plantae",NA,"Magnoliopsida","Fagales"
"Daphne mezereum","Plantae",NA,"Magnoliopsida","Malvales"
"Calliphora uralensis","Animalia","Arthropoda","Insecta","Diptera"
"Formica rufa","Animalia","Arthropoda","Insecta","Hymenoptera"
"Acrocephalus dumetorum","Animalia","Chordata","Aves","Passeriformes"
"Sylvia borin","Animalia","Chordata","Aves","Passeriformes"
"Cinclus cinclus","Animalia","Chordata","Aves","Passeriformes"
"Ficedula parva","Animalia","Chordata","Aves","Passeriformes"
"Prunella modularis","Animalia","Chordata","Aves","Passeriformes"
"Hippolais icterina","Animalia","Chordata","Aves","Passeriformes"
"Emberiza rustica","Animalia","Chordata","Aves","Passeriformes"
"Troglodytes troglodytes","Animalia","Chordata","Aves","Passeriformes"
"Protophormia tarrae-novae",NA,NA,NA,NA
"Anthocharis cardamines","Animalia","Arthropoda","Insecta","Lepidoptera"
"Dactylorhiza maculata","Plantae",NA,"Magnoliopsida","Asparagales"
"Calypso bulbosa","Plantae",NA,"Magnoliopsida","Asparagales"
"Chimaphila umbellata","Plantae",NA,"Magnoliopsida","Ericales"
"Angelica sylvestris","Plantae",NA,"Magnoliopsida","Apiales"
"Pyrola rotundifolia","Plantae",NA,"Magnoliopsida","Ericales"
"Melampyrum sylvaticum","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Leucanthemum ircutianum","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Nyphar lutea",NA,NA,NA,NA
"Rubus saxatilis","Plantae",NA,"Magnoliopsida","Rosales"
"Dactylis glomerata","Plantae",NA,"Magnoliopsida","Poales"
"Silene flos-cuculi","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Campanula glomerata","Plantae",NA,"Magnoliopsida","Asterales"
"Petasites frigidus","Plantae",NA,"Magnoliopsida","Asterales"
"Corylus sieboldiana var. mandshurica","Plantae","Streptophyta","Magnoliopsida","Fagales"
"Numenius arquata","Animalia","Chordata","Aves","Charadriiformes"
"Haliaeetus albicilla","Animalia","Chordata","Aves","Accipitriformes"
"Aythya fuligula","Animalia","Chordata","Aves","Anseriformes"
"Corvus cornix","Animalia","Chordata","Aves","Passeriformes"
"Viola saxatilis",NA,NA,NA,NA
"Nuphar lutea","Plantae",NA,"Magnoliopsida","Nymphaeales"
"Cicuta virosa","Plantae",NA,"Magnoliopsida","Apiales"
"Lysimachia thyrsiflora","Plantae",NA,"Magnoliopsida","Ericales"
"Calla palustris","Plantae",NA,"Magnoliopsida","Alismatales"
"Tabanus bovinus",NA,NA,NA,NA
"Larix decidua","Plantae",NA,"Pinopsida","Pinales"
"Quercus petraea","Plantae",NA,"Magnoliopsida","Fagales"
"Berberis vulgaris","Plantae",NA,"Magnoliopsida","Ranunculales"
"Pandion haliaetus","Animalia","Chordata","Aves","Accipitriformes"
"Tringa glareola","Animalia","Chordata","Aves","Charadriiformes"
"Anas acuta","Animalia","Chordata","Aves","Anseriformes"
"Motacilla flava","Animalia","Chordata","Aves","Passeriformes"
"Luscinia svecica","Animalia","Chordata","Aves","Passeriformes"
"Cornus suecica","Plantae",NA,"Magnoliopsida","Cornales"
"Galium palustre","Plantae",NA,"Magnoliopsida","Gentianales"
"Salix phylicifolia","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Epilobium palustre","Plantae",NA,"Magnoliopsida","Myrtales"
"Moneses uniflora","Plantae",NA,"Magnoliopsida","Ericales"
"Drosera anglica","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Hieracium umbellatum","Plantae",NA,"Magnoliopsida","Asterales"
"Neottia cordata","Plantae",NA,"Magnoliopsida","Asparagales"
"Viola palustris","Plantae",NA,"Magnoliopsida","Malpighiales"
"Avenella flexuosa","Plantae",NA,"Magnoliopsida","Poales"
"Corallorhiza trifida","Plantae",NA,"Magnoliopsida","Asparagales"
"Betula nana","Plantae",NA,"Magnoliopsida","Fagales"
"Rumex confertus","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Pyrola minor","Plantae",NA,"Magnoliopsida","Ericales"
"Melica nutans","Plantae","Streptophyta","Magnoliopsida","Poales"
"Pyrola chlorantha","Plantae",NA,"Magnoliopsida","Ericales"
"Luzula multiflora","Plantae",NA,"Magnoliopsida","Poales"
"Galium album","Plantae",NA,"Magnoliopsida","Gentianales"
"Trifolium campestre","Plantae",NA,"Magnoliopsida","Fabales"
"Carex nigra","Plantae",NA,"Magnoliopsida","Poales"
"Eriophorum angustifolium","Plantae",NA,"Magnoliopsida","Poales"
"Viola epipsila","Plantae",NA,"Magnoliopsida","Malpighiales"
"Drosera rotundifolia","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Trichophorum cespitosum","Plantae",NA,"Magnoliopsida","Poales"
"Luzula sudetica","Plantae",NA,"Magnoliopsida","Poales"
"Molinia caerulea","Plantae",NA,"Magnoliopsida","Poales"
"Polygonum viviparum","Plantae","Streptophyta","Magnoliopsida","Caryophyllales"
"Vicia sepium","Plantae",NA,"Magnoliopsida","Fabales"
"Hieracium caespitosum","Plantae",NA,"Magnoliopsida","Asterales"
"Galium mollugo","Plantae",NA,"Magnoliopsida","Gentianales"
"Galeopsis speciosa","Plantae",NA,"Magnoliopsida","Lamiales"
"Deschampsia cespitosa","Plantae",NA,"Magnoliopsida","Poales"
"Viola tricolor","Plantae",NA,"Magnoliopsida","Malpighiales"
"Rumex acetosa","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Carex acuta","Plantae","Streptophyta","Magnoliopsida","Poales"
"Stellaria palustris","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Rhinanthus angustifolius","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Salix udensis","Plantae",NA,"Magnoliopsida","Malpighiales"
"Rhodococcum minor",NA,NA,NA,NA
"Comarostaphylis polifolia",NA,NA,NA,NA
"Lonicera kamtschatica",NA,NA,NA,NA
"Salix parallelinervis",NA,NA,NA,NA
"Plectrophenax nivalis","Animalia","Chordata","Aves","Passeriformes"
"Pinicola enucleator","Animalia","Chordata","Aves","Passeriformes"
"Archiearis parthenias","Animalia","Arthropoda","Insecta","Lepidoptera"
"Cirsium heterophyllum","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Parnassia palustris","Plantae",NA,"Magnoliopsida","Celastrales"
"Chloris sinica","Animalia","Chordata","Aves","Passeriformes"
"Cuculus saturatus","Animalia","Chordata","Aves","Cuculiformes"
"Aix galericulata","Animalia","Chordata","Aves","Anseriformes"
"Emberiza elegans","Animalia","Chordata","Aves","Passeriformes"
"Oriolus chinensis","Animalia","Chordata","Aves","Passeriformes"
"Otus sunia","Animalia","Chordata","Aves","Strigiformes"
"Mergus squamatus","Animalia","Chordata","Aves","Anseriformes"
"Pericrocotus divaricatus","Animalia","Chordata","Aves","Passeriformes"
"Eurystomus orientalis","Animalia","Chordata","Aves","Coraciiformes"
"Bombycilla japonica","Animalia","Chordata","Aves","Passeriformes"
"Streptopelia orientalis","Animalia","Chordata","Aves","Columbiformes"
"Turdus hortulorum","Animalia","Chordata","Aves","Passeriformes"
"Cyanoptila cyanomelana","Animalia","Chordata","Aves","Passeriformes"
"Phoenicurus auroreus","Animalia","Chordata","Aves","Passeriformes"
"Emberiza cioides","Animalia","Chordata","Aves","Passeriformes"
"Ficedula zanthopygia","Animalia","Chordata","Aves","Passeriformes"
"Spodiopsar cineraceus","Animalia","Chordata","Aves","Passeriformes"
"Nymphalis io","Animalia","Arthropoda","Insecta","Lepidoptera"
"Papilio maackii","Animalia","Arthropoda","Insecta","Lepidoptera"
"Mimathyma schrenckii","Animalia","Arthropoda","Insecta","Lepidoptera"
"Maackia amurensis","Plantae",NA,"Magnoliopsida","Fabales"
"Hemerocallis middendorffii","Plantae",NA,"Magnoliopsida","Asparagales"
"Crepis tectorum","Plantae",NA,"Magnoliopsida","Asterales"
"Inula japonica","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Crataegus maximowiczii","Plantae",NA,"Magnoliopsida","Rosales"
"Phellodendron amurense","Plantae",NA,"Magnoliopsida","Sapindales"
"Lonicera ruprechtiana","Plantae",NA,"Magnoliopsida","Dipsacales"
"Potentilla fragarioides","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Maianthemum japonicum","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Lychnis Lychnis fulgens",NA,NA,NA,NA
"Trollius chinensis","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Geranium erianthum","Plantae",NA,"Magnoliopsida","Geraniales"
"Aster scaber","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Lespedeza bicolor","Plantae",NA,"Magnoliopsida","Fabales"
"Fragaria orientalis","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Anemone reflexa","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Synurus deltoides","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Betula dahurica","Plantae","Streptophyta","Magnoliopsida","Fagales"
"Chloranthus japonicus","Plantae","Streptophyta","Magnoliopsida","Chloranthales"
"Mentha canadensis","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Isodon japonicus","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Gagea triflora","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Syringa reticulata","Plantae",NA,"Magnoliopsida","Lamiales"
"Tilia amurensis","Plantae","Streptophyta","Magnoliopsida","Malvales"
"Corydalis pallida","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Clematis Clematis mandschurica",NA,NA,NA,NA
"Bupleurum longiradiatum","Plantae","Streptophyta","Magnoliopsida","Apiales"
"Populus suaveolens","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Sanicula rubriflora","Plantae","Streptophyta","Magnoliopsida","Apiales"
"Berberis amurensis","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Schisandra chinensis","Plantae","Streptophyta","Magnoliopsida","Austrobaileyales"
"Paeonia lactiflora","Plantae",NA,"Magnoliopsida","Saxifragales"
"Veronicastrum sibiricum","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Adoxa moschatellina","Plantae",NA,"Magnoliopsida","Dipsacales"
"Philadelphus tenuifolius","Plantae",NA,"Magnoliopsida","Cornales"
"Fraxinus chinensis","Plantae",NA,"Magnoliopsida","Lamiales"
"Fritillaria usuriensis","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Aconitum paniculigerum",NA,NA,NA,NA
"Rhamnus davurica","Plantae",NA,"Magnoliopsida","Rosales"
"Corydalis repens","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Serratula coronata","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Hieracium virosum","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Adenocaulon himalaicum","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Agrimonia pilosa","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Orostachys malacophylla","Plantae","Streptophyta","Magnoliopsida","Saxifragales"
"Eranthis stellata","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Gagea nakaiana","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Solidago decurrens","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Hylomecon japonicum",NA,NA,NA,NA
"Geum aleppicum","Plantae",NA,"Magnoliopsida","Rosales"
"Astilbe rubra","Plantae","Streptophyta","Magnoliopsida","Saxifragales"
"Valeriana officinalis","Plantae",NA,"Magnoliopsida","Dipsacales"
"Hosta japonica","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Isodon excisus","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Linaria vulgaris","Plantae",NA,"Magnoliopsida","Lamiales"
"Phryma leptostachya","Plantae",NA,"Magnoliopsida","Lamiales"
"Plagiorhegma dubium","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Hypericum ascyron","Plantae",NA,"Magnoliopsida","Malpighiales"
"Rosa davurica","Plantae",NA,"Magnoliopsida","Rosales"
"Gentiana triflora","Plantae","Streptophyta","Magnoliopsida","Gentianales"
"Adenophora triphylla","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Rhododendron mucronulatum","Plantae","Streptophyta","Magnoliopsida","Ericales"
"Campanula punctata","Plantae",NA,"Magnoliopsida","Asterales"
"Dictamnus dasycarpus","Plantae","Streptophyta","Magnoliopsida","Sapindales"
"Aquilegia oxysepala","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Convallaria keiskei","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Corydalis turtschaninovii","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Atractylodes lancea","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Ribes pallidiflorum",NA,NA,NA,NA
"Filipendula palmata","Plantae","Streptophyta","Magnoliopsida","Rosales"
"Veratrum maackii","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Lonicera maackii","Plantae",NA,"Magnoliopsida","Dipsacales"
"Lathyrus humilis","Plantae","Streptophyta","Magnoliopsida","Fabales"
"Malus mandshurica","Plantae",NA,"Magnoliopsida","Rosales"
"Leibnitzia anandria","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Patrinia scabiosifolia","Plantae","Streptophyta","Magnoliopsida","Dipsacales"
"Dianthus chinensis","Plantae",NA,"Magnoliopsida","Caryophyllales"
"Asyneuma japonicum","Plantae","Streptophyta","Magnoliopsida","Asterales"
"Lilium distichum","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Gentiana zollingeri","Plantae","Streptophyta","Magnoliopsida","Gentianales"
"Melampyrum Melampyrum setaceum",NA,NA,NA,NA
"Aruncus dioicus","Plantae",NA,"Magnoliopsida","Rosales"
"Polemonium caeruleum","Plantae",NA,"Magnoliopsida","Ericales"
"Asparagus schoberioides","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Calystegia inflata",NA,NA,NA,NA
"Lysimachia davurica","Plantae","Streptophyta","Magnoliopsida","Ericales"
"Verbascum thapsus","Plantae",NA,"Magnoliopsida","Lamiales"
"Draba nemorosa","Plantae",NA,"Magnoliopsida","Brassicales"
"Chosenia arbutifolia","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Chrysosplenium pilosum","Plantae","Streptophyta","Magnoliopsida","Saxifragales"
"Alnus hirsuta","Plantae","Streptophyta","Magnoliopsida","Fagales"
"Asarum sieboldii","Plantae","Streptophyta","Magnoliopsida","Piperales"
"Clematis fusca","Plantae",NA,"Magnoliopsida","Ranunculales"
"Ulmus davidiana","Plantae",NA,"Magnoliopsida","Rosales"
"Lathyrus quinquenervius","Plantae","Streptophyta","Magnoliopsida","Fabales"
"Actaea simplex","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Leonurus japonicus","Plantae",NA,"Magnoliopsida","Lamiales"
"Gagea Gagea hiensis",NA,NA,NA,NA
"Vitis amurensis","Plantae",NA,"Magnoliopsida","Vitales"
"Agastache rugosa","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Quercus mongolica","Plantae",NA,"Magnoliopsida","Fagales"
"Tripleurospermum inodorum","Plantae",NA,"Magnoliopsida","Asterales"
"Paris verticillata","Plantae","Streptophyta","Magnoliopsida","Liliales"
"Pulsatilla dahurica","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Cardamine leucantha","Plantae","Streptophyta","Magnoliopsida","Brassicales"
"Eleutherococcus sessiliflorus","Plantae","Streptophyta","Magnoliopsida","Apiales"
"Corylus heterophylla","Plantae",NA,"Magnoliopsida","Fagales"
"Mentha dahurica","Plantae","Streptophyta","Magnoliopsida","Lamiales"
"Anemone udensis",NA,NA,NA,NA
"Iris uniflora","Plantae","Streptophyta","Magnoliopsida","Asparagales"
"Sambucus williamsii","Plantae","Streptophyta","Magnoliopsida","Dipsacales"
"Eleutherococcus senticosus","Plantae",NA,"Magnoliopsida","Apiales"
"Phylloscopus borealis","Animalia","Chordata","Aves","Passeriformes"
"Anthus pratensis","Animalia","Chordata","Aves","Passeriformes"
"Cacalia hastate",NA,NA,NA,NA
"Picea obovata","Plantae","Streptophyta","Pinopsida",NA
"Viola rupestris","Plantae","Streptophyta","Magnoliopsida","Malpighiales"
"Rubus sachalinensis","Plantae",NA,"Magnoliopsida","Rosales"
"Ribes hispidulum",NA,NA,NA,NA
"Aconitum septentrionale","Plantae","Streptophyta","Magnoliopsida","Ranunculales"
"Pinus sibirica","Plantae",NA,"Pinopsida","Pinales"
"Pyrola media","Plantae",NA,"Magnoliopsida","Ericales"
"Picea fennica",NA,NA,NA,NA
"Pteridium aquilinum","Plantae",NA,"Polypodiopsida","Polypodiales"
"Calamagrostis arundinacea","Plantae",NA,"Magnoliopsida","Poales"
"Orthilia secunda","Plantae",NA,"Magnoliopsida","Ericales"
"Dryopteris filix-mas","Plantae",NA,"Polypodiopsida","Polypodiales"
"Limosa limosa","Animalia","Chordata","Aves","Charadriiformes"
"Columba oenas","Animalia","Chordata","Aves","Columbiformes"
"Anas clypeata","Animalia","Chordata","Aves","Anseriformes"
"Acrocephalus schoenobaenus","Animalia","Chordata","Aves","Passeriformes"
"Gallinula chloropus","Animalia","Chordata","Aves","Gruiformes"
"Xenus cinereus","Animalia","Chordata","Aves","Charadriiformes"
"Falco subbuteo","Animalia","Chordata","Aves","Falconiformes"
"Circus cyaneus","Animalia","Chordata","Aves","Accipitriformes"
"Fulica atra","Animalia","Chordata","Aves","Gruiformes"
"Circus aeruginosus","Animalia","Chordata","Aves","Accipitriformes"
"Botaurus stellaris","Animalia","Chordata","Aves","Pelecaniformes"
"Tringa nebularia","Animalia","Chordata","Aves","Charadriiformes"
"Chlidonias niger","Animalia","Chordata","Aves","Charadriiformes"
"Crex Crex","Animalia","Chordata","Aves","Gruiformes"
"Tringa totanus","Animalia","Chordata","Aves","Charadriiformes"
"Chlidonias leucopterus","Animalia","Chordata","Aves","Charadriiformes"
"Nymphalis polychloros","Animalia","Arthropoda","Insecta","Lepidoptera"
"Lupinus polyphyllus","Plantae",NA,"Magnoliopsida","Fabales"
"Gentiana pneumonanthe","Plantae","Streptophyta","Magnoliopsida","Gentianales"
"Sylvia communis","Animalia","Chordata","Aves","Passeriformes"
"Emberiza aureola","Animalia","Chordata","Aves","Passeriformes"
"Mergellus albellus","Animalia","Chordata","Aves","Anseriformes"
"Calidris alpina","Animalia","Chordata","Aves","Charadriiformes"
"Charadrius dubius","Animalia","Chordata","Aves","Charadriiformes"
"Larus fuscus","Animalia","Chordata","Aves","Charadriiformes"
"Acrocephalus palustris","Animalia","Chordata","Aves","Passeriformes"
